DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2013-09-26,11:06:00,,,,,,pH,,,6.17,None,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2013-09-26,11:06:00,,,,,,Specific conductance,,,23.8,uS/cm,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs-Portable Data Logger,Surface Water,2013-09-26,11:06:00,,,,,,"Temperature, water",,,14.3,deg C,,,,,,,,,,,,,,,
Indian Bay Ecosystem Corporation,IBP1,Indian Bay Park 1,49.04176,-53.8849,UNKWN,,,,,River/Stream,Field Msr/Obs,Surface Water,2013-09-26,11:06:00,,,,,,Total Coliform,,,,,,Not Detected,,,,,,,,Lamotte tablet,,,,,
Indian Bay Ecosystem Corporation,JS2,Jim's Steady Bill's Wharf,49.11624,-54.0194,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,11:56:00,,,,,,Dissolved oxygen (DO),,,11.3,mg/l,,,,,,,6.96 ph observed where ~ 5..00 observed upstream. More testing reccommended,,,,,,,,
Indian Bay Ecosystem Corporation,JS2,Jim's Steady Bill's Wharf,49.11624,-54.0194,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,11:56:00,,,,,,Dissolved oxygen saturation,,,109,%,,,,,,,6.96 ph observed where ~ 5..00 observed upstream. More testing reccommended,,,,,,,,
Indian Bay Ecosystem Corporation,JS2,Jim's Steady Bill's Wharf,49.11624,-54.0194,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,11:56:00,,,,,,pH,,,6.96,None,,,,,,,6.96 ph observed where ~ 5..00 observed upstream. More testing reccommended,,,,,,,,
Indian Bay Ecosystem Corporation,JS2,Jim's Steady Bill's Wharf,49.11624,-54.0194,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,11:56:00,,,,,,Salinity,,,0.01,ppt,,,,,,,6.96 ph observed where ~ 5..00 observed upstream. More testing reccommended,,,,,,,,
Indian Bay Ecosystem Corporation,JS2,Jim's Steady Bill's Wharf,49.11624,-54.0194,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,11:56:00,,,,,,Specific conductance,,,20.4,uS/cm,,,,,,,6.96 ph observed where ~ 5..00 observed upstream. More testing reccommended,,,,,,,,
Indian Bay Ecosystem Corporation,JS2,Jim's Steady Bill's Wharf,49.11624,-54.0194,UNKWN,,,,,Lake/Pond,Field Msr/Obs-Portable Data Logger,Surface Water,2014-06-05,11:56:00,,,,,,"Temperature, water",,,12.8,deg C,,,,,,,6.96 ph observed where ~ 5..00 observed upstream. More testing reccommended,,,,,,,,
